Time,Temperature
1393,-1.4807314
1394,-1.813353
1395,-2.8931446
1396,-2.881998
1397,-2.891496
1398,-2.5895784
1399,-2.1271803
1400,-2.61972
1401,-3.3127575
1402,-2.314992
1403,-2.7724237
1404,-3.9077222
1405,-3.8068328
1406,-3.3947036
1407,-2.79291
1408,-2.5841234
1409,-2.5536647
1410,-1.4483948
1411,-1.8538641
1412,-1.7549225
1413,-2.210806
1414,-1.8243381
1415,-1.5669456
1416,-2.0293565
1417,-3.332959
1418,-3.3232448
1419,-3.81911
1420,-3.8549116
1421,-3.805511
1422,-3.4752295
1423,-4.26719
1424,-3.8551989
1425,-3.7856426
1426,-3.3196747
1427,-3.3519354
1428,-3.0112596
1429,-2.6998312
1430,-2.3337965
1431,-2.1803148
1432,-2.2584682
1433,-2.705664
1434,-2.9527621
1435,-3.1296804
1436,-3.693319
1437,-3.4487708
1438,-2.8530886
1439,-3.0578446
1440,-2.836746
1441,-3.1840792
1442,-3.136709
1443,-2.965219
1444,-1.9624811
1445,-1.5595764
1446,-2.7493181
1447,-2.5274868
1448,-2.4117281
1449,-1.9699447
1450,-1.9179327
1451,-1.7001032
1452,-1.1403161
1453,-2.42069
1454,-2.337139
1455,-1.8816082
1456,-2.4149044
1457,-1.4842594
1458,-2.889427
1459,-2.9725196
1460,-2.7692897
1461,-2.5217144
1462,-1.7854402
1463,-1.6182296
1464,-2.0658247
1465,-1.8617141
1466,-2.015968
1467,-2.0065122
1468,-2.5162628
1469,-2.6305704
1470,-1.9090829
1471,-2.1767433
1472,-1.823356
1473,-2.861618
1474,-2.9458528
1475,-2.6375256
1476,-2.726172
1477,-2.083724
1478,-2.1414557
1479,-2.1958754
1480,-2.8562624
1481,-2.6515586
1482,-3.0981588
1483,-2.449833
1484,-2.0117543
1485,-1.9231256
1486,-1.2533876
1487,-1.6286184
1488,-2.5828178
1489,-2.7386718
1490,-2.4310322
1491,-1.9965155
1492,-2.1339889
1493,-1.4234387
1494,-2.0298946
1495,-1.9799292
1496,-2.005794
1497,-1.4671341
1498,-1.6050212
1499,-0.49194813
1500,-0.1218819
